"id","Latitude","Longitude","UniqueSquirrelID","Shift","Date","Age","Primary_Fur_Color","Location","SpecificLocation","OtherActivities","Running","Chasing","Climbing","Eating","Foraging","Kuks","Quaas","Moans","TailFlags","TailTwitches","Approaches","Indifferent","RunsFrom"
"10472","40.7940823884086","-73.9561344937861","37F-PM-1014-03","PM","2018-10-14","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false"
"10473","40.7837825208444","-73.9688574691102","21B-AM-1019-04","AM","2018-10-19","","","","","","false","false","false","false","false","false","false","false","false","false","false","false","false"
"10474","40.775533619083","-73.9742811484852","11B-PM-1014-08","PM","2018-10-14","","Gray","Above Ground","","","false","true","false","false","false","false","false","false","false","false","false","false","false"
"10475","40.7903128889029","-73.9596413903948","32E-PM-1017-14","PM","2018-10-17","Adult","Gray","","","","false","false","false","true","true","false","false","false","false","false","false","false","true"
"10476","40.7762126854894","-73.9702676472613","13E-AM-1017-05","AM","2018-10-17","Adult","Gray","Above Ground","on tree stump","","false","false","false","false","true","false","false","false","false","false","false","false","false"
"10477","40.7725908847499","-73.9683613516225","11H-AM-1010-03","AM","2018-10-10","Adult","Cinnamon","","","","false","false","false","false","true","false","false","false","false","true","false","true","false"
"10478","40.7931811701082","-73.9541201789795","36H-AM-1010-02","AM","2018-10-10","Adult","Gray","Ground Plane","","","false","false","false","false","true","false","false","false","false","false","false","false","false"
"10479","40.7917367820255","-73.9582694312289","33F-AM-1008-02","AM","2018-10-08","Adult","Gray","Ground Plane","","","false","false","false","false","true","false","false","false","false","false","false","true","false"
"10480","40.7829723919744","-73.9674285955293","21C-PM-1006-01","PM","2018-10-06","Adult","Gray","Ground Plane","","","false","false","false","false","false","false","false","false","true","true","false","false","false"
"10481","40.7742879599026","-73.9722500196844","11D-AM-1010-03","AM","2018-10-10","Adult","Gray","Above Ground","","grooming","false","false","true","false","false","false","false","false","false","false","false","true","false"
"10482","40.7823507678183","-73.9695063535333","20B-PM-1013-05","PM","2018-10-13","Adult","Gray","Ground Plane","","","false","false","false","false","true","false","false","false","false","false","false","true","false"
"10483","40.7820309825448","-73.9640032826529","22F-PM-1014-06","PM","2018-10-14","Adult","Gray","Ground Plane","","","true","false","false","false","false","false","false","false","false","true","false","true","false"
"10484","40.7919669739962","-73.9532170504865","36I-PM-1007-01","PM","2018-10-07","Adult","Gray","Ground Plane","","","false","false","false","false","true","false","false","false","false","false","false","true","false"
"10485","40.7702795904962","-73.9768603630674","5C-PM-1010-09","PM","2018-10-10","Adult","Cinnamon","Ground Plane","","","true","false","false","false","false","false","false","false","false","false","false","false","false"
"10486","40.7698124821507","-73.9706105896967","7H-AM-1006-05","AM","2018-10-06","Adult","Gray","Above Ground","","","false","true","false","false","false","false","false","false","false","false","false","true","false"
"10487","40.7787526130321","-73.9703781726172","16C-PM-1018-03","PM","2018-10-18","Adult","Gray","Above Ground","","","true","false","false","true","true","false","false","false","false","false","false","true","false"
"10488","40.7765032004992","-73.9703925210471","14E-AM-1008-23","AM","2018-10-08","Adult","Gray","Ground Plane","","walking","false","false","false","false","true","false","false","false","false","false","false","true","false"
"10489","40.7924173263904","-73.9638179439747","32A-PM-1013-03","PM","2018-10-13","Juvenile","Gray","Ground Plane","","","false","false","false","true","false","false","false","false","false","false","false","true","false"
"10490","40.7913812490557","-73.9584070974734","33F-AM-1008-01","AM","2018-10-08","Adult","Gray","Ground Plane","","moving slowly","false","false","false","false","false","false","false","false","false","false","false","true","false"
"10491","40.7784859700171","-73.9671130680114","17F-AM-1007-07","AM","2018-10-07","Adult","Gray","Above Ground","","","true","false","false","false","false","false","false","false","true","false","false","true","false"
"10492","40.7764929694457","-73.9649866016038","16I-AM-1008-01","AM","2018-10-08","Adult","Cinnamon","Ground Plane","","","false","false","false","false","true","false","false","false","false","true","false","true","false"
"10493","40.7734991420941","-73.9670628558161","12I-AM-1013-01","AM","2018-10-13","Adult","Cinnamon","Ground Plane","on tree roots","sitting","false","false","false","false","false","false","false","false","false","true","false","false","true"
"10494","40.7908524370626","-73.958736593111","32F-PM-1008-07","PM","2018-10-08","Adult","Gray","Ground Plane","","","true","true","false","false","true","false","false","false","false","false","false","true","false"
"10495","40.7867352791232","-73.9671786715256","25A-AM-1013-04","AM","2018-10-13","","Gray","Ground Plane","","","false","false","false","false","true","false","false","false","false","false","false","false","true"
"10496","40.7769536102488","-73.9692943291611","15E-AM-1013-01","AM","2018-10-13","Adult","Gray","Ground Plane","","","true","false","false","false","true","false","false","false","false","false","false","false","false"
"10497","40.7952445999836","-73.9540054100539","39G-PM-1013-06","PM","2018-10-13","Adult","Gray","Ground Plane","","","true","false","false","false","false","false","false","false","false","false","false","false","false"
"10498","40.7868659490397","-73.9576530157255","29I-PM-1007-01","PM","2018-10-07","","Gray","Ground Plane","","","false","false","false","true","true","false","false","false","false","false","false","false","false"
"10499","40.7711846894166","-73.9738033257473","7E-AM-1006-02","AM","2018-10-06","Adult","Gray","Ground Plane","under a tree","","false","false","false","true","false","false","false","false","false","false","false","false","false"
"10500","40.7798965621203","-73.9704402681017","17C-PM-1013-05","PM","2018-10-13","Adult","Gray","Ground Plane","","eating (ate upside down on a tree — #jealous)","false","false","false","true","false","false","false","false","false","false","false","true","false"
